City_ID,City,Lat,Lng,MaxTemp,Humidity,Clouds,Wind,Country,Date
0,Jaisalmer,26.91,70.91,309.54,29,0,2.05,IN,Sun Mar 31 23:54:19 2019
1,Artyom,40.47,50.33,283.15,81,90,6.2,AZ,Sun Mar 31 23:30:00 2019
2,Carnarvon,-24.87,113.63,303.15,62,36,6.2,AU,Sun Mar 31 23:00:00 2019
3,Turukhansk,65.8,87.96,272.24,100,76,3.4,RU,Sun Mar 31 23:54:20 2019
4,Toba tek singh,30.98,72.49,303.54,62,0,2.05,PK,Sun Mar 31 23:54:02 2019
5,Faanui,-16.48,-151.75,302.84,98,0,1.45,PF,Sun Mar 31 23:54:21 2019
6,Yozgat,39.82,34.81,277.09,78,76,1.95,TR,Sun Mar 31 23:54:21 2019
7,Abong mbang,3.98,13.18,294.89,92,8,1.3,CM,Sun Mar 31 23:54:22 2019
8,Punta arenas,-53.16,-70.91,283.15,93,75,2.6,CL,Sun Mar 31 23:52:26 2019
9,Makat,47.65,53.35,281.04,94,0,3.15,KZ,Sun Mar 31 23:54:23 2019
10,Albany,-35.02,117.88,299.15,50,0,6.7,AU,Sun Mar 31 23:00:00 2019
11,Bubaque,11.28,-15.83,301.39,90,8,3.75,GW,Sun Mar 31 23:54:24 2019
12,Atuona,-9.8,-139.03,301.39,98,8,5.9,PF,Sun Mar 31 23:54:24 2019
13,Saint-philippe,-21.36,55.77,305.15,58,0,4.1,RE,Sun Mar 31 23:50:11 2019
14,Qaanaaq,77.48,-69.36,255.19,74,68,2.6,GL,Sun Mar 31 23:54:25 2019
15,Chuy,-33.69,-53.46,292.94,95,88,2.1,UY,Sun Mar 31 23:54:26 2019
16,Klaksvik,62.23,-6.59,279.15,81,88,8.2,FO,Sun Mar 31 23:20:00 2019
17,Kangaatsiaq,68.31,-53.46,265.94,100,64,7.3,GL,Sun Mar 31 23:54:27 2019
18,Paso de carrasco,-34.86,-56.05,292.59,93,20,2.7,UY,Sun Mar 31 23:45:21 2019
19,Almunecar,36.73,-3.69,284.82,93,40,2.1,ES,Sun Mar 31 23:51:45 2019
20,Rikitea,-23.12,-134.97,298.09,100,48,6.3,PF,Sun Mar 31 23:54:29 2019
